CODIGO_SINIESTRO;LOCALIDAD;GRAVEDAD;CLASE;TIPO DE VEHICULO;SERVICIO;CONDICION;ESTADO;EDAD;SEXO;HORA
10471918;Los Mártires;Con Heridos;Choque;Automovil;Particular;PASAJERO;HERIDO;66;MASCULINO;06:00 a 8:59
10471921;Rafael Uribe Uribe;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;22;MASCULINO;12:00 a 14:59
10471930;Tunjuelito;Solo Daños;Choque;Camioneta;Oficial;CONDUCTOR;ILESO;48;MASCULINO;09:00  a 11:59
10471939;Teusaquillo;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;38;MASCULINO;06:00 a 8:59
10471940;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;80;FEMENINO;00:00 a 02:59
10471943;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;32;FEMENINO;18:00 a 20:59
10471953;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;46;MASCULINO;12:00 a 14:59
10472035;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;32;MASCULINO;18:00 a 20:59
10472036;Barrios Unidos;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;38;MASCULINO;03:00 a 5:59
10474583;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;24;MASCULINO;12:00 a 14:59
10472001;Chapinero;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;47;FEMENINO;15:00  a 17:59
10472003;Ciudad Bolívar;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;31;MASCULINO;06:00 a 8:59
10472006;Los Mártires;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;39;MASCULINO;09:00  a 11:59
10472029;Suba;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;54;MASCULINO;18:00 a 20:59
10472102;San Cristóbal;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;24;MASCULINO;12:00 a 14:59
10472130;Usaquén;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;ILESO;19;MASCULINO;03:00 a 5:59
10471981;Rafael Uribe Uribe;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;ILESO;35;MASCULINO;12:00 a 14:59
10472000;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;21;MASCULINO;00:00 a 02:59
10472010;Los Mártires;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;27;MASCULINO;12:00 a 14:59
10472011;Suba;Solo Daños;Atropello;Camioneta;Publico;CONDUCTOR;ILESO;30;MASCULINO;12:00 a 14:59
10472027;Usaquén;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;50;MASCULINO;15:00  a 17:59
10472028;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;45;FEMENINO;03:00 a 5:59
10472117;Usaquén;Con Heridos;Choque;Camioneta;Publico;PASAJERO;HERIDO;45;MASCULINO;06:00 a 8:59
10472119;Engativá;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;76;MASCULINO;00:00 a 02:59
10471954;Kennedy;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;60;MASCULINO;15:00  a 17:59
10471992;Rafael Uribe Uribe;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;26;MASCULINO;03:00 a 5:59
10471995;Tunjuelito;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;63;MASCULINO;00:00 a 02:59
10472017;Teusaquillo;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;59;MASCULINO;00:00 a 02:59
10472018;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;36;MASCULINO;12:00 a 14:59
10472019;San Cristóbal;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;34;MASCULINO;15:00  a 17:59
10472023;Kennedy;Solo Daños;Choque;Motocicleta;Oficial;MOTOCICLISTA;ILESO;23;MASCULINO;15:00  a 17:59
10472030;Suba;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;39;MASCULINO;15:00  a 17:59
10471974;Suba;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;37;MASCULINO;18:00 a 20:59
10471975;Teusaquillo;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;34;MASCULINO;21:00 a 24:00
10471999;Tunjuelito;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;32;MASCULINO;06:00 a 8:59
10472005;Barrios Unidos;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;46;MASCULINO;18:00 a 20:59
10472007;Tunjuelito;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;23;MASCULINO;09:00  a 11:59
10472012;Ciudad Bolívar;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;34;MASCULINO;12:00 a 14:59
10472013;Barrios Unidos;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;15;MASCULINO;00:00 a 02:59
10472015;Engativá;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;34;FEMENINO;00:00 a 02:59
10472022;Fontibón;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;45;MASCULINO;09:00  a 11:59
10472024;Fontibón;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;38;MASCULINO;18:00 a 20:59
10472108;Barrios Unidos;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;33;MASCULINO;15:00  a 17:59
10472109;Engativá;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;70;MASCULINO;18:00 a 20:59
10472113;Barrios Unidos;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;51;MASCULINO;06:00 a 8:59
10472129;Suba;Con Heridos;Atropello;Bus;Publico;CONDUCTOR;ILESO;56;MASCULINO;06:00 a 8:59
10471952;Los Mártires;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;29;MASCULINO;15:00  a 17:59
10472143;San Cristóbal;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;44;MASCULINO;09:00  a 11:59
10472047;Kennedy;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;44;MASCULINO;15:00  a 17:59
10472049;Suba;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;33;MASCULINO;21:00 a 24:00
10472050;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;30;MASCULINO;03:00 a 5:59
10472053;Barrios Unidos;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;74;MASCULINO;00:00 a 02:59
10472056;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;54;FEMENINO;21:00 a 24:00
10472057;Barrios Unidos;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;24;MASCULINO;12:00 a 14:59
10472058;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;30;MASCULINO;12:00 a 14:59
10472062;Fontibón;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;37;MASCULINO;18:00 a 20:59
10472040;Rafael Uribe Uribe;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;43;MASCULINO;09:00  a 11:59
10472041;Engativá;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;25;MASCULINO;09:00  a 11:59
10472042;Tunjuelito;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;38;MASCULINO;06:00 a 8:59
10472059;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;24;FEMENINO;03:00 a 5:59
10472060;Barrios Unidos;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;49;MASCULINO;18:00 a 20:59
10472066;Usaquén;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;70;MASCULINO;06:00 a 8:59
10472094;Fontibón;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;57;MASCULINO;15:00  a 17:59
10472096;Teusaquillo;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;36;MASCULINO;06:00 a 8:59
10472101;Chapinero;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;37;MASCULINO;03:00 a 5:59
10472103;Kennedy;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;58;MASCULINO;03:00 a 5:59
10472121;Suba;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;30;MASCULINO;00:00 a 02:59
10472127;Teusaquillo;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;37;MASCULINO;09:00  a 11:59
10472131;Engativá;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;22;MASCULINO;18:00 a 20:59
10472132;Suba;Con Heridos;Choque;Camioneta;Particular;PASAJERO;HERIDO;24;FEMENINO;03:00 a 5:59
10472134;Fontibón;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;ILESO;39;MASCULINO;03:00 a 5:59
10472031;Kennedy;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;32;MASCULINO;12:00 a 14:59
10472105;Tunjuelito;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;31;FEMENINO;06:00 a 8:59
10472124;San Cristóbal;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;40;MASCULINO;12:00 a 14:59
10472138;Engativá;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;ILESO;21;MASCULINO;15:00  a 17:59
10472207;San Cristóbal;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;43;FEMENINO;21:00 a 24:00
10472098;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;22;MASCULINO;03:00 a 5:59
10472099;Engativá;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;35;MASCULINO;18:00 a 20:59
10472112;Kennedy;Con Heridos;Choque;Automovil;Particular;PASAJERO;HERIDO;26;FEMENINO;21:00 a 24:00
10472114;Kennedy;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;ILESO;48;MASCULINO;06:00 a 8:59
10472125;Engativá;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;54;MASCULINO;03:00 a 5:59
10472128;Engativá;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;ILESO;67;MASCULINO;15:00  a 17:59
10472133;Ciudad Bolívar;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;20;MASCULINO;06:00 a 8:59
10472136;Kennedy;Con Heridos;Otro;Bus;Publico;CONDUCTOR;ILESO;42;MASCULINO;06:00 a 8:59
10472146;Ciudad Bolívar;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;27;MASCULINO;00:00 a 02:59
10472152;San Cristóbal;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;49;MASCULINO;12:00 a 14:59
10472200;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;46;MASCULINO;00:00 a 02:59
10472503;Ciudad Bolívar;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;54;MASCULINO;06:00 a 8:59
10472067;Engativá;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;61;MASCULINO;21:00 a 24:00
10472034;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;33;FEMENINO;09:00  a 11:59
10472043;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;65;MASCULINO;06:00 a 8:59
10472045;Usaquén;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;44;MASCULINO;12:00 a 14:59
10472046;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;51;MASCULINO;21:00 a 24:00
10472048;Chapinero;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;41;MASCULINO;12:00 a 14:59
10472052;Teusaquillo;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;20;MASCULINO;21:00 a 24:00
10472151;Suba;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;44;MASCULINO;09:00  a 11:59
10472175;Tunjuelito;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;37;MASCULINO;03:00 a 5:59
10472209;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;55;MASCULINO;18:00 a 20:59
10473056;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;38;MASCULINO;15:00  a 17:59
10472211;Usaquén;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;32;MASCULINO;18:00 a 20:59
10472212;Suba;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;29;MASCULINO;21:00 a 24:00
10472219;Teusaquillo;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;25;MASCULINO;03:00 a 5:59
10472222;Barrios Unidos;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;47;MASCULINO;09:00  a 11:59
10472223;Usaquén;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;39;MASCULINO;06:00 a 8:59
10472232;Teusaquillo;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;21;MASCULINO;18:00 a 20:59
10472233;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;62;MASCULINO;03:00 a 5:59
10472239;Engativá;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;62;MASCULINO;18:00 a 20:59
10472266;Tunjuelito;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;HERIDO;24;MASCULINO;15:00  a 17:59
10472273;Chapinero;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;58;MASCULINO;06:00 a 8:59
10472178;Usaquén;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;ILESO;23;MASCULINO;18:00 a 20:59
10472270;Kennedy;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;36;MASCULINO;18:00 a 20:59
10472793;Usaquén;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;55;MASCULINO;21:00 a 24:00
10472206;Chapinero;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;51;MASCULINO;03:00 a 5:59
10472208;Barrios Unidos;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;67;FEMENINO;03:00 a 5:59
10472221;Usaquén;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;47;FEMENINO;09:00  a 11:59
10472236;Engativá;Solo Daños;Choque;Motocicleta;Particular;MOTOCICLISTA;ILESO;26;FEMENINO;18:00 a 20:59
10472271;Kennedy;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;37;MASCULINO;21:00 a 24:00
10472306;Engativá;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;31;MASCULINO;18:00 a 20:59
10472147;Suba;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;62;MASCULINO;06:00 a 8:59
10472153;Teusaquillo;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;64;MASCULINO;12:00 a 14:59
10472155;Kennedy;Con Heridos;Choque;Bus;Publico;PASAJERO;HERIDO;47;FEMENINO;18:00 a 20:59
10472156;Fontibón;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;54;MASCULINO;15:00  a 17:59
10472179;Kennedy;Con Heridos;Otro;Bus;Publico;CONDUCTOR;ILESO;39;MASCULINO;21:00 a 24:00
10472199;Kennedy;Con Heridos;Atropello;Automovil;Publico;CONDUCTOR;HERIDO;34;MASCULINO;15:00  a 17:59
10472234;Usaquén;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;49;MASCULINO;12:00 a 14:59
10480917;Rafael Uribe Uribe;Con Heridos;Choque;Motocicleta;Particular;PASAJERO;HERIDO;32;MASCULINO;18:00 a 20:59
10472399;Suba;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;23;FEMENINO;15:00  a 17:59
10472292;Chapinero;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;23;MASCULINO;06:00 a 8:59
10472294;Engativá;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;23;MASCULINO;21:00 a 24:00
10472297;Engativá;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;22;MASCULINO;15:00  a 17:59
10472312;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;36;MASCULINO;18:00 a 20:59
10472300;Engativá;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;51;MASCULINO;21:00 a 24:00
10472315;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;56;MASCULINO;09:00  a 11:59
10472159;Engativá;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;21;FEMENINO;15:00  a 17:59
10472161;Engativá;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;20;FEMENINO;00:00 a 02:59
10472166;Kennedy;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;33;FEMENINO;18:00 a 20:59
10472210;Ciudad Bolívar;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;57;FEMENINO;09:00  a 11:59
10472385;Suba;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;39;MASCULINO;21:00 a 24:00
10472164;San Cristóbal;Con Heridos;Choque;Motocicleta;Particular;MOTOCICLISTA;HERIDO;44;MASCULINO;15:00  a 17:59
10472160;Chapinero;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;44;FEMENINO;21:00 a 24:00
10472162;San Cristóbal;Con Heridos;Choque;Automovil;Publico;CONDUCTOR;ILESO;64;MASCULINO;18:00 a 20:59
10472263;Ciudad Bolívar;Con Heridos;Atropello;Motocicleta;Particular;MOTOCICLISTA;ILESO;45;MASCULINO;18:00 a 20:59
10472214;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;35;MASCULINO;12:00 a 14:59
10472285;Usaquén;Solo Daños;Choque;Camioneta;Publico;CONDUCTOR;ILESO;26;MASCULINO;21:00 a 24:00
10472308;Chapinero;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;32;MASCULINO;09:00  a 11:59
10472344;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;21;MASCULINO;18:00 a 20:59
10472180;Los Mártires;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;42;MASCULINO;18:00 a 20:59
10472321;Fontibón;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;41;MASCULINO;21:00 a 24:00
10472326;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;30;FEMENINO;06:00 a 8:59
10472184;Fontibón;Con Heridos;Atropello;Automovil;Publico;CONDUCTOR;ILESO;37;MASCULINO;15:00  a 17:59
10472185;Usaquén;Con Heridos;Atropello;Camioneta;Particular;CONDUCTOR;ILESO;60;MASCULINO;03:00 a 5:59
10472188;Engativá;Con Heridos;Atropello;Automovil;Particular;CONDUCTOR;ILESO;62;MASCULINO;00:00 a 02:59
10472192;Fontibón;Con Heridos;Atropello;Automovil;Publico;CONDUCTOR;ILESO;23;MASCULINO;09:00  a 11:59
10472277;Suba;Solo Daños;Choque;Automovil;Publico;CONDUCTOR;ILESO;25;MASCULINO;00:00 a 02:59
10472282;Usaquén;Solo Daños;Choque;Bus;Publico;CONDUCTOR;ILESO;26;MASCULINO;09:00  a 11:59
10472288;Suba;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;33;FEMENINO;21:00 a 24:00
10472291;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;44;MASCULINO;21:00 a 24:00
10472293;Engativá;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;23;MASCULINO;15:00  a 17:59
10472295;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;32;MASCULINO;06:00 a 8:59
10472301;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;38;MASCULINO;15:00  a 17:59
10472311;Kennedy;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;57;FEMENINO;21:00 a 24:00
10472318;Fontibón;Solo Daños;Choque;Automovil;Particular;CONDUCTOR;ILESO;46;MASCULINO;18:00 a 20:59
10472304;Kennedy;Solo Daños;Choque;Camioneta;Particular;CONDUCTOR;ILESO;29;MASCULINO;15:00  a 17:59
10472167;Kennedy;Con Heridos;Choque;Automovil;Particular;CONDUCTOR;ILESO;53;MASCULINO;03:00 a 5:59
10472170;Kennedy;Con Heridos;Choque;Camioneta;Particular;CONDUCTOR;HERIDO;31;MASCULINO;12:00 a 14:59
